Step,Magnetism,Temperature
0,0.9712,2
1,0.9508,2
2,0.9366,2
3,0.929,2
4,0.9296,2
5,0.9308,2
6,0.9254,2
7,0.9226,2
8,0.9196,2
9,0.904,2
10,0.9064,2
11,0.9096,2
12,0.9084,2
13,0.9086,2
14,0.9094,2
15,0.9138,2
16,0.91,2
17,0.9058,2
18,0.9062,2
19,0.9092,2
20,0.9084,2
21,0.9056,2
22,0.904,2
23,0.9036,2
24,0.906,2
25,0.9106,2
26,0.9152,2
27,0.9182,2
28,0.913,2
29,0.914,2
30,0.9148,2
31,0.9108,2
32,0.918,2
33,0.9228,2
34,0.9102,2
35,0.9142,2
36,0.9076,2
37,0.9058,2
38,0.9144,2
39,0.9174,2
40,0.923,2
41,0.9262,2
42,0.9282,2
43,0.933,2
44,0.9228,2
45,0.9184,2
46,0.9164,2
47,0.9138,2
48,0.9156,2
49,0.9112,2
50,0.9084,2
51,0.9142,2
52,0.9066,2
53,0.903,2
54,0.898,2
55,0.9,2
56,0.9092,2
57,0.9112,2
58,0.9078,2
59,0.9126,2
60,0.9112,2
61,0.9148,2
62,0.9082,2
63,0.915,2
64,0.9174,2
65,0.9106,2
66,0.912,2
67,0.916,2
68,0.917,2
69,0.9134,2
70,0.9074,2
71,0.9042,2
72,0.9072,2
73,0.9118,2
74,0.8986,2
75,0.903,2
76,0.9034,2
77,0.9188,2
78,0.921,2
79,0.9326,2
80,0.9244,2
81,0.9322,2
82,0.9262,2
83,0.9238,2
84,0.9236,2
85,0.9204,2
86,0.9242,2
87,0.9266,2
88,0.925,2
89,0.9244,2
90,0.919,2
91,0.9224,2
92,0.9252,2
93,0.9208,2
94,0.92,2
95,0.9174,2
96,0.92,2
97,0.9124,2
98,0.9134,2
99,0.9122,2
100,0.9196,2
101,0.918,2
102,0.911,2
103,0.9012,2
104,0.9014,2
105,0.9092,2
106,0.9094,2
107,0.922,2
108,0.9132,2
109,0.9192,2
110,0.9124,2
111,0.9132,2
112,0.9144,2
113,0.9138,2
114,0.9078,2
115,0.9198,2
116,0.914,2
117,0.9166,2
118,0.9168,2
119,0.9142,2
120,0.9144,2
121,0.9126,2
122,0.9138,2
123,0.9128,2
124,0.913,2
125,0.9048,2
126,0.9064,2
127,0.916,2
128,0.9056,2
129,0.9086,2
130,0.9062,2
131,0.9086,2
132,0.9212,2
133,0.9102,2
134,0.913,2
135,0.9144,2
136,0.911,2
137,0.9156,2
138,0.9138,2
139,0.907,2
140,0.906,2
141,0.9164,2
142,0.9198,2
143,0.915,2
144,0.9188,2
145,0.9242,2
146,0.9124,2
147,0.9202,2
148,0.9084,2
149,0.9076,2
150,0.9142,2
151,0.9256,2
152,0.9248,2
153,0.916,2
154,0.92,2
155,0.9198,2
156,0.9102,2
157,0.9112,2
158,0.9086,2
159,0.9148,2
160,0.9224,2
161,0.9124,2
162,0.919,2
163,0.9238,2
164,0.9268,2
165,0.921,2
166,0.9152,2
167,0.9182,2
168,0.925,2
169,0.918,2
170,0.916,2
171,0.911,2
172,0.911,2
173,0.9206,2
174,0.9142,2
175,0.9098,2
176,0.902,2
177,0.904,2
178,0.9092,2
179,0.9032,2
180,0.9046,2
181,0.9056,2
182,0.9154,2
183,0.9098,2
184,0.9108,2
185,0.9154,2
186,0.914,2
187,0.9234,2
188,0.9178,2
189,0.9154,2
190,0.919,2
191,0.917,2
192,0.9202,2
193,0.911,2
194,0.9102,2
195,0.9142,2
196,0.915,2
197,0.9114,2
198,0.9126,2
199,0.9142,2
200,0.913,2
201,0.9168,2
202,0.9134,2
203,0.9108,2
204,0.9128,2
205,0.9076,2
206,0.9078,2
207,0.902,2
208,0.8998,2
209,0.9032,2
210,0.8996,2
211,0.8988,2
212,0.9026,2
213,0.8996,2
214,0.9056,2
215,0.9036,2
216,0.9102,2
217,0.911,2
218,0.9074,2
219,0.909,2
220,0.9042,2
221,0.9058,2
222,0.8982,2
223,0.8984,2
224,0.9,2
225,0.9004,2
226,0.9034,2
227,0.905,2
228,0.9064,2
229,0.9074,2
230,0.907,2
231,0.9062,2
232,0.9138,2
233,0.9128,2
234,0.8982,2
235,0.9068,2
236,0.9022,2
237,0.9098,2
238,0.9064,2
239,0.9162,2
240,0.918,2
241,0.9148,2
242,0.9056,2
243,0.904,2
244,0.9092,2
245,0.9184,2
246,0.9178,2
247,0.917,2
248,0.9148,2
249,0.9166,2
250,0.909,2
251,0.9106,2
252,0.9192,2
253,0.9138,2
254,0.9194,2
255,0.9176,2
256,0.9182,2
257,0.9168,2
258,0.911,2
259,0.908,2
260,0.9134,2
